Age,Males,Females
0,0.006023,0.005132
1,0.000481,0.000394
2,0.000332,0.000232
3,0.000237,0.000187
4,0.000179,0.000142
5,0.000165,0.000133
6,0.000151,0.000119
7,0.000139,0.000110
8,0.000122,0.000103
9,0.000101,0.000098
10,0.000087,0.000098
11,0.000097,0.000104
12,0.000150,0.000123
13,0.000256,0.000155
14,0.000397,0.000196
15,0.000551,0.000241
16,0.000698,0.000286
17,0.000833,0.000328
18,0.000953,0.000366
19,0.001061,0.000402
20,0.001175,0.000443
21,0.001295,0.000486
22,0.001401,0.000524
23,0.001487,0.000555
24,0.001560,0.000583
25,0.001625,0.000609
26,0.001697,0.000640
27,0.001783,0.000685
28,0.001890,0.000748
29,0.002008,0.000821
30,0.002127,0.000898
31,0.002237,0.000971
32,0.002336,0.001037
33,0.002423,0.001094
34,0.002505,0.001149
35,0.002588,0.001206
36,0.002680,0.001270
37,0.002784,0.001348
38,0.002903,0.001441
39,0.003032,0.001544
40,0.003176,0.001660
41,0.003326,0.001778
42,0.003464,0.001883
43,0.003588,0.001973
44,0.003714,0.002057
45,0.003862,0.002153
46,0.004052,0.002277
47,0.004284,0.002433
48,0.004557,0.002621
49,0.004859,0.002832
50,0.005182,0.003062
51,0.005535,0.003309
52,0.005938,0.003572
53,0.006411,0.003858
54,0.006960,0.004179
55,0.007549,0.004519
56,0.008183,0.004897
57,0.008909,0.005348
58,0.009721,0.005873
59,0.010581,0.006443
60,0.011457,0.007034
61,0.012333,0.007625
62,0.013223,0.008216
63,0.014147,0.008816
64,0.015132,0.009448
65,0.016196,0.010135
66,0.017494,0.010961
67,0.018695,0.011782
68,0.019985,0.012696
69,0.021360,0.013728
70,0.022642,0.014755
71,0.024317,0.016066
72,0.026170,0.017524
73,0.028328,0.019299
74,0.030787,0.021326
75,0.033522,0.023712
76,0.036028,0.025914
77,0.040607,0.029447
78,0.044020,0.032420
79,0.049348,0.036450
80,0.054164,0.040493
81,0.061040,0.045557
82,0.068034,0.051025
83,0.075182,0.056904
84,0.082862,0.064118
85,0.092160,0.070931
86,0.103004,0.080253
87,0.115464,0.090614
88,0.129086,0.102080
89,0.143895,0.114707
90,0.159898,0.128541
91,0.177078,0.143609
92,0.195392,0.159919
93,0.214769,0.177452
94,0.235109,0.196164
95,0.256283,0.215977
96,0.278136,0.236785
97,0.300487,0.258448
98,0.323140,0.280798
99,0.345888,0.303644
100,1.000000,1.000000
